Year,LocationAbbr,LocationDesc,Datasource,Category,Topic,Indicator,Break_Out_Category,Break_out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_Limit_Low,Confidence_Limit_High,CategoryID,TopicID,IndicatorID,BreakoutCategoryID,BreakOutID,LocationID,GeoLocation
2011,NV,Nevada,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,25-44,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE04,32,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Non-Hispanic Black,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC02,32,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE01,32,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Other,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC07,32,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Hispanic,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC04,32,"(39.493240390000494, -117.07184056399967)"
2011,NY,New York,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,25-44,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE04,36,"(42.82700103200045, -75.54397042699964)"
2011,NY,New York,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE01,36,"(42.82700103200045, -75.54397042699964)"
2011,OH,Ohio,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Hispanic,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC04,39,"(40.06021014100048, -82.40426005599966)"
2011,OH,Ohio,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Other,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC07,39,"(40.06021014100048, -82.40426005599966)"
2011,OH,Ohio,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE01,39,"(40.06021014100048, -82.40426005599966)"
2011,OK,Oklahoma,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC03,AGE01,40,"(35.47203135600046, -97.52107021399968)"
2011,OK,Oklahoma,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Hispanic,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC04,40,"(35.47203135600046, -97.52107021399968)"
2011,OR,Oregon,BRFSS,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); BRFSS,Race,Non-Hispanic Black,Percentage,%,,~,Statistically unstable estimates not presented [unstable by CDC standards: (standard error/estimate>0.30)],,,C1,T4,BR001,BOC04,RAC02,41,"(44.56744942400047, -120.15503132599969)"
