Year,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueTypeID,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1
2013,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1904,1904, , ,,,Race/Ethnicity,"White, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,WHT
2013,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,478,478, , ,,,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,BLK
2012,IA,Iowa,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1455,1455, , ,,,Gender,Male, , , , ,"(42.46940091300047, -93.81649055599968)",DIA,DIA1_1, ,19,GENDER,GENM
2012,IA,Iowa,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1387,1387, , ,,,Gender,Female, , , , ,"(42.46940091300047, -93.81649055599968)",DIA,DIA1_1, ,19,GENDER,GENF
2014,ID,Idaho,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,626,626, , ,,,Gender,Male, , , , ,"(43.682630005000476, -114.3637300419997)",DIA,DIA1_1, ,16,GENDER,GENM
2014,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,84.1,84.1, , ,79.1,89.1,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,BLK
2014,ID,Idaho,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,552,552, , ,,,Gender,Female, , , , ,"(43.682630005000476, -114.3637300419997)",DIA,DIA1_1, ,16,GENDER,GENF
2012,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1435,1435, , ,,,Gender,Female, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,GENDER,GENF
2012,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,3354,3354, , ,,,Overall,Overall, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,OVERALL,OVR
2010,AR,Arkansas,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,14,14, , ,9.1,20.5,Race/Ethnicity,Hispanic, , , , ,"(34.74865012400045, -92.27449074299966)",DIA,DIA1_1, ,5,RACE,HIS
2012,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,83.2,83.2, , ,79.4,87,Gender,Male, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,GENDER,GENM
2012,AZ,Arizona,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,1919,1919, , ,,,Gender,Male, , , , ,"(34.865970280000454, -111.76381127699972)",DIA,DIA1_1, ,4,GENDER,GENM
2012,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,11.7,11.7, , ,7.4,17.6,Race/Ethnicity,Hispanic, , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,HIS
2012,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,77.8,77.8, , ,74.8,80.9,Race/Ethnicity,"White, non-Hispanic", , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,WHT
2012,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,"cases per 100,000",CrdRate,Crude Rate,88.1,88.1, , ,82.9,93.2,Race/Ethnicity,"Black, non-Hispanic", , , , ,"(32.84057112200048, -86.63186076199969)",DIA,DIA1_1, ,1,RACE,BLK
2010,OH,Ohio,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death, ,,Nmbr,Number,6490,6490, , ,,,Gender,Male, , , , ,"(40.06021014100048, -82.40426005599966)",DIA,DIA1_1, ,39,GENDER,GENM
