Season, Virus,0-4 yr,5-24 yr,25-64 yr,65+ yr
2016-17,A (H3),1572,6405,6361,7534
2016-17,A (H1N1)pdm09,89,128,226,107
2016-17,A (Subtyping not Performed),13,48,60,77
2016-17,B (Victoria Lineage),133,509,228,66
2016-17,B (Yamagata Lineage),113,501,539,497
2016-17,B (Lineage Unspecified),87,347,216,81
2015-16,A (H3),309,1513,1080,852
2015-16,A (H1N1)pdm09,1876,3419,6918,1906
2015-16,A (Subtyping not Performed),34,72,176,80
2015-16,B (Victoria Lineage),207,765,398,153
2015-16,B (Yamagata Lineage),214,943,1341,797
2015-16,B (Lineage Unspecified),205,948,728,285
2015-16,H3N2v,1216,1211,950,1852
2014-15,A (H3),3113,9108,9154,12852
2014-15,A (H1N1)pdm09,25,37,89,12
2014-15,A (Subtyping not Performed),33,81,108,119
2014-15,B (Lineage Unspecified),536,1846,2004,1199
2014-15,H3N2v,0,2,0,0
